,icao24,callsign,origin_country,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,time,callsign_carrier,carrier_company,carrier_type,manufacturericao,model,icaoaircrafttype,model_no_stripped,avg_no_seats,coord,city_name,reg_admin1,reg_admin2,country_cc
1634,a3f7b8,DAL472,United States,-82.999,41.7238,5204.46,False,177.28,319.24,-6.18,5402.58,1656442561,DAL,Delta Air Lines,P,AIRBUS,A321-211,,A321-2,199.0,"(41.7238, -82.999)",Port Clinton,Ohio,Ottawa County,US
1635,70c0c3,,Oman,49.7791,26.4989,457.2,False,91.46,346.67,14.63,350.52,1656442561,,FlyMontserrat,P,BOEING,737NG 81M/W,L2J,737-8,176.0,"(26.4989, 49.7791)",Al Awjam,Eastern Province,,SA
1636,70c0c3,,Oman,49.7791,26.4989,457.2,False,91.46,346.67,14.63,350.52,1656442561,,Lulutai Airlines,P,BOEING,737NG 81M/W,L2J,737-8,176.0,"(26.4989, 49.7791)",Al Awjam,Eastern Province,,SA
1637,a13af4,DAL371,United States,-112.5598,39.2909,11582.4,False,205.72,253.29,0.0,12192.0,1656442561,DAL,Delta Air Lines,P,BOEING,767-332,L2J,767-3,330.0,"(39.2909, -112.5598)",Delta,Utah,Millard County,US
1638,c1e40a,,Canada,-73.749,45.459,,True,1.03,272.81,,,1656442561,,FlyMontserrat,P,,,,,180.0,"(45.459, -73.749)",Dorval,Quebec,,CA
1639,c1e40a,,Canada,-73.749,45.459,,True,1.03,272.81,,,1656442561,,Lulutai Airlines,P,,,,,180.0,"(45.459, -73.749)",Dorval,Quebec,,CA
1640,70c0c0,OMA682,Oman,48.4701,23.3772,10058.4,False,226.01,92.22,0.33,10721.34,1656442561,OMA,Oman Air,P+,BOEING,737NG 91MER/W,L2J,737-9,183.0,"(23.3772, 48.4701)",Ad Dilam,Ar Riyad,,SA
1641,a537b2,SWA1651,United States,-82.755,29.1243,8382.0,False,222.24,333.32,0.65,8793.48,1656442561,SWA,Southwest Airlines,B,BOEING,737-7H4,L2J,737-7,154.0,"(29.1243, -82.755)",Inglis,Florida,Levy County,US
1642,89638e,ABY402,United Arab Emirates,56.0399,25.2455,2834.64,False,160.98,292.55,-7.8,2964.18,1656442561,ABY,Air Arabia,B,AIRBUS,A320 214SL,L2J,A320,180.4,"(25.2455, 56.0399)",Adh Dhayd,Ash Shariqah,,AE
1643,89638d,ABY531,United Arab Emirates,74.304,23.0892,11582.4,False,248.69,265.61,0.33,12382.5,1656442561,ABY,Air Arabia,B,AIRBUS,A320 214SL,L2J,A320,180.4,"(23.0892, 74.304)",Kushalgarh,Rajasthan,Banswara,IN
1644,c06156,WJA1100,Canada,-113.3413,36.6276,10972.8,False,220.08,233.08,0.0,11605.26,1656442561,WJA,Westjet Airlines,B,BOEING,737-8CT (Boeing),L2J,737-8,193.60000000000002,"(36.6276, -113.3413)",Colorado City,Arizona,Mohave County,US
1645,4ca8d7,RYR58LK,Ireland,0.4407,43.5206,11277.6,False,225.86,179.35,0.0,11719.56,1656442561,RYR,Ryanair,B,BOEING,BOEING 737-8AS,L2J,737-8,193.60000000000002,"(43.5206, 0.4407)",Mirande,Midi-Pyrenees,Departement du Gers,FR
1646,4ca8d4,RYR96FK,Ireland,-0.9621,51.3976,8549.64,False,220.72,355.99,-8.45,8808.72,1656442561,RYR,Ryanair,B,BOEING,BOEING 737-8AS,L2J,737-8,193.60000000000002,"(51.3976, -0.9621)",Shinfield,England,Wokingham,GB
1647,800734,AIC380,India,83.9737,24.5606,12496.8,False,254.13,128.42,-0.33,13312.14,1656442561,AIC,Air India,P,BOEING,787 8,L2J,787-8,312.0,"(24.5606, 83.9737)",Husainabad,Jharkhand,Palamu,IN
1648,a07177,AAL1756,United States,-112.0023,33.4377,,True,0.0,95.62,,,1656442561,AAL,American Airlines,P,AIRBUS,A321-231,L2J,A321-2,379.0,"(33.4377, -112.0023)",Tempe Junction,Arizona,Maricopa County,US
1649,aa7bea,DAL2136,United States,-120.0316,35.5669,10530.84,False,239.46,148.53,-5.53,11148.06,1656442561,DAL,Delta Air Lines,P,BOEING,737-8EH,L2J,737-8,189.0,"(35.5669, -120.0316)",Lost Hills,California,Kern County,US
1650,a7a257,JIA5249,United States,-87.9657,35.5923,8602.98,False,252.72,70.13,4.88,9060.18,1656442561,JIA,PSA Airlines,P,BOMBARDIER INC,CL-600-2D24,L2J,CRJ900,95.0,"(35.5923, -87.9657)",Mount Carmel,Tennessee,Decatur County,US
1651,4ca8bb,SAS651,Ireland,10.392,53.858,1333.5,False,128.55,218.34,-7.8,1463.04,1656442561,SAS,SAS Scandinavian Airlines,P,CANADAIR,Bombardier CRJ 900 LR NG,L2J,CRJ900,86.0,"(53.858, 10.392)",Buhnsdorf,Schleswig-Holstein,,DE
1652,4baa42,THY3036,Turkey,13.1293,48.0157,10972.8,False,235.56,324.33,0.0,11460.48,1656442561,THY,Turkish Airlines,U,AIRBUS,A321 231,L2J,A321-2,201.0,"(48.0157, 13.1293)",Mattsee,Salzburg,Politischer Bezirk Salzburg-Umgebung,AT
1653,3c7438,TUI4B,Germany,20.4289,43.5609,11582.4,False,222.89,317.81,0.33,12123.42,1656442561,TUI,TUIfly,P+,,,,,180.0,"(43.5609, 20.4289)",Ivanjica,Central Serbia,Moravicki Okrug,RS
1654,a6f777,DAL2301,United States,-82.649,27.6643,11887.2,False,238.68,170.07,0.0,12550.14,1656442561,DAL,Delta Air Lines,P,BOEING,757-251,L2J,757-2,178.0,"(27.6643, -82.649)",Tierra Verde,Florida,Pinellas County,US
1655,48a5e9,SRN3273,Poland,12.6266,55.5989,-7.62,False,61.61,41.28,-3.25,91.44,1656442561,SRN,Sprintair,U,SAAB-FAIRCHILD,340 A,L2T,340 A,180.0,"(55.5989, 12.6266)",Dragor,Capital Region,Dragor Kommune,DK
1656,48a5e7,SRN3051,Poland,10.7248,56.2956,5753.1,False,134.59,142.3,-4.88,5905.5,1656442561,SRN,Sprintair,U,SAAB-FAIRCHILD,340 A,L2T,340 A,180.0,"(56.2956, 10.7248)",Ebeltoft,Central Jutland,Syddjurs Kommune,DK
1657,a897f4,,United States,-111.9997,33.4379,,True,0.0,90.0,,,1656442561,,FlyMontserrat,P,AIRBUS INDUSTRIE,A320-232,L2J,A320,200.0,"(33.4379, -111.9997)",Tempe Junction,Arizona,Maricopa County,US
1658,a897f4,,United States,-111.9997,33.4379,,True,0.0,90.0,,,1656442561,,Lulutai Airlines,P,AIRBUS INDUSTRIE,A320-232,L2J,A320,200.0,"(33.4379, -111.9997)",Tempe Junction,Arizona,Maricopa County,US
1659,a28928,UAL1513,United States,-119.9286,34.2557,10904.22,False,234.0,146.66,-14.96,11582.4,1656442561,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(34.2557, -119.9286)",Isla Vista,California,Santa Barbara County,US
1660,ad4873,AAL2847,United States,-77.0065,39.7873,8534.4,False,200.19,238.56,0.0,8869.68,1656442561,AAL,American Airlines,P,BOEING,737-823,L2J,737-8,162.0,"(39.7873, -77.0065)",Pennville,Pennsylvania,York County,US
